"DATE","TIME","SEC","RUNTIME(ms)","PTNUM","SSID","BSSID","RttStatus","Distance(Mm)","DistanceStdDev(Mm)","Rssi","timestamp","NumAttemptedMeasurements","NumSuccessfulMeasurements"
"20200519","2016","49155","1204","0","COMPULAB_01","38:00:25:55:d6:d8","0","3939","894","-49","13123007","8","7"
"20200519","2016","49155","1204","0","COMPULAB_02","38:00:25:55:d7:f0","0","808","864","-52","13123007","8","7"
"20200519","2016","49155","1204","0","COMPULAB_03","38:00:25:55:d3:db","0","-2507","1286","-48","13123007","8","7"
"20200519","2016","49155","1204","0","COMPULAB_04","38:00:25:55:c7:06","0","544","548","-47","13123007","8","7"
"20200519","2016","49435","1693","0","COMPULAB_01","38:00:25:55:d6:d8","0","1803","825","-54","13123268","8","7"
"20200519","2016","49435","1693","0","COMPULAB_02","38:00:25:55:d7:f0","0","1109","989","-53","13123268","8","7"
"20200519","2016","49435","1693","0","COMPULAB_03","38:00:25:55:d3:db","0","-1138","621","-52","13123268","8","7"
"20200519","2016","49435","1693","0","COMPULAB_04","38:00:25:55:c7:06","0","480","482","-48","13123268","8","7"
"20200519","2016","49709","1932","0","COMPULAB_01","38:00:25:55:d6:d8","0","1902","474","-53","13123530","8","7"
"20200519","2016","49709","1932","0","COMPULAB_02","38:00:25:55:d7:f0","0","2737","2721","-52","13123530","8","7"
"20200519","2016","49709","1932","0","COMPULAB_03","38:00:25:55:d3:db","0","-2216","1909","-51","13123530","8","7"
"20200519","2016","49709","1932","0","COMPULAB_04","38:00:25:55:c7:06","0","320","551","-50","13123530","8","7"
"20200519","2016","49865","1932","0","COMPULAB_01","38:00:25:55:d6:d8","0","2712","868","-52","13123659","8","7"
"20200519","2016","49865","1932","0","COMPULAB_02","38:00:25:55:d7:f0","0","1615","564","-52","13123659","8","7"
"20200519","2016","49865","1932","0","COMPULAB_03","38:00:25:55:d3:db","0","1048","3170","-55","13123659","8","7"
"20200519","2016","49865","1932","0","COMPULAB_04","38:00:25:55:c7:06","0","-209","922","-47","13123659","8","7"
"20200519","2016","50118","2167","0","COMPULAB_01","38:00:25:55:d6:d8","0","2476","1157","-54","13123919","8","7"
"20200519","2016","50118","2167","0","COMPULAB_02","38:00:25:55:d7:f0","0","1492","1113","-57","13123919","8","7"
"20200519","2016","50118","2167","0","COMPULAB_03","38:00:25:55:d3:db","0","-22","1893","-53","13123919","8","7"
"20200519","2016","50118","2167","0","COMPULAB_04","38:00:25:55:c7:06","0","1716","774","-47","13123919","8","7"
"20200519","2016","50492","2688","0","COMPULAB_01","38:00:25:55:d6:d8","0","2697","1269","-52","13124306","8","7"
"20200519","2016","50492","2688","0","COMPULAB_02","38:00:25:55:d7:f0","0","1544","724","-50","13124306","8","7"
"20200519","2016","50492","2688","0","COMPULAB_03","38:00:25:55:d3:db","0","3082","1647","-53","13124306","8","7"
"20200519","2016","50492","2688","0","COMPULAB_04","38:00:25:55:c7:06","0","951","489","-47","13124306","8","7"
"20200519","2016","51447","3537","0","COMPULAB_01","38:00:25:55:d6:d8","0","1884","1433","-52","13125220","8","7"
"20200519","2016","51447","3537","0","COMPULAB_02","38:00:25:55:d7:f0","0","570","1425","-55","13125220","8","7"
"20200519","2016","51447","3537","0","COMPULAB_03","38:00:25:55:d3:db","0","2500","798","-53","13125220","8","7"
"20200519","2016","51447","3537","0","COMPULAB_04","38:00:25:55:c7:06","0","-397","1349","-49","13125220","8","7"
"20200519","2016","51715","3830","0","COMPULAB_01","38:00:25:55:d6:d8","0","2888","1048","-50","13125477","8","7"
"20200519","2016","51715","3830","0","COMPULAB_02","38:00:25:55:d7:f0","0","3069","803","-53","13125477","8","7"
"20200519","2016","51715","3830","0","COMPULAB_03","38:00:25:55:d3:db","0","3613","1343","-61","13125477","8","7"
"20200519","2016","51715","3830","0","COMPULAB_04","38:00:25:55:c7:06","0","1175","2035","-49","13125477","8","7"
"20200519","2016","51837","3830","0","COMPULAB_01","38:00:25:55:d6:d8","0","264","984","-54","13125610","8","7"
"20200519","2016","51837","3830","0","COMPULAB_02","38:00:25:55:d7:f0","0","342","542","-54","13125610","8","7"
"20200519","2016","51837","3830","0","COMPULAB_03","38:00:25:55:d3:db","0","1773","1787","-58","13125610","8","7"
"20200519","2016","51837","3830","0","COMPULAB_04","38:00:25:55:c7:06","0","5384","1224","-52","13125610","8","7"
"20200519","2016","52128","4183","0","COMPULAB_01","38:00:25:55:d6:d8","0","2051","590","-50","13125871","8","7"
