"DATE","TIME","SEC","RUNTIME(ms)","PTNUM","SSID","BSSID","RttStatus","Distance(Mm)","DistanceStdDev(Mm)","Rssi","timestamp","NumAttemptedMeasurements","NumSuccessfulMeasurements"
"20190620","1844","31927","163","0","COMPULAB_02","38:00:25:55:d7:f0","0","958","866","-55","28735648","8","7"
"20190620","1844","31927","163","0","COMPULAB_04","38:00:25:55:c7:06","0","-194","443","-48","28735648","8","7"
"20190620","1844","31927","163","0","COMPULAB_01","38:00:25:55:d6:d8","0","3557","735","-53","28735648","8","7"
"20190620","1844","31927","163","0","COMPULAB_03","38:00:25:55:d3:db","0","-1284","3752","-49","28735648","8","7"
"20190620","1844","32386","730","0","COMPULAB_02","38:00:25:55:d7:f0","0","6921","205","-54","28736159","8","7"
"20190620","1844","32386","730","0","COMPULAB_04","38:00:25:55:c7:06","0","294","708","-45","28736159","8","7"
"20190620","1844","32386","730","0","COMPULAB_01","38:00:25:55:d6:d8","0","2868","554","-55","28736158","8","7"
"20190620","1844","32386","730","0","COMPULAB_03","38:00:25:55:d3:db","0","-1319","3524","-47","28736158","8","7"
"20190620","1844","32774","1116","0","COMPULAB_02","38:00:25:55:d7:f0","0","-335","730","-56","28736543","8","7"
"20190620","1844","32774","1116","0","COMPULAB_04","38:00:25:55:c7:06","0","744","704","-50","28736543","8","7"
"20190620","1844","32774","1116","0","COMPULAB_01","38:00:25:55:d6:d8","0","4645","670","-51","28736543","8","7"
"20190620","1844","32774","1116","0","COMPULAB_03","38:00:25:55:d3:db","0","-1761","987","-49","28736543","8","7"
"20190620","1844","33320","1557","0","COMPULAB_02","38:00:25:55:d7:f0","0","3584","754","-53","28737058","8","7"
"20190620","1844","33320","1557","0","COMPULAB_04","38:00:25:55:c7:06","0","336","550","-44","28737058","8","7"
"20190620","1844","33320","1557","0","COMPULAB_01","38:00:25:55:d6:d8","0","2188","2369","-62","28737058","8","7"
"20190620","1844","33320","1557","0","COMPULAB_03","38:00:25:55:d3:db","0","609","2081","-51","28737058","8","7"
"20190620","1844","33418","1757","0","COMPULAB_02","38:00:25:55:d7:f0","0","1740","831","-50","28737191","8","7"
"20190620","1844","33418","1757","0","COMPULAB_04","38:00:25:55:c7:06","0","365","801","-45","28737191","8","7"
"20190620","1844","33418","1757","0","COMPULAB_01","38:00:25:55:d6:d8","0","4897","887","-55","28737191","8","7"
"20190620","1844","33418","1757","0","COMPULAB_03","38:00:25:55:d3:db","0","-1617","868","-47","28737191","8","7"
"20190620","1844","33722","1974","0","COMPULAB_02","38:00:25:55:d7:f0","0","6342","882","-53","28737449","8","7"
"20190620","1844","33722","1974","0","COMPULAB_04","38:00:25:55:c7:06","0","463","878","-54","28737449","8","7"
"20190620","1844","33722","1974","0","COMPULAB_01","38:00:25:55:d6:d8","0","2616","2624","-57","28737449","8","7"
"20190620","1844","33722","1974","0","COMPULAB_03","38:00:25:55:d3:db","0","-462","2244","-53","28737449","8","7"
"20190620","1844","33986","2197","0","COMPULAB_02","38:00:25:55:d7:f0","0","2271","547","-50","28737708","8","7"
"20190620","1844","33986","2197","0","COMPULAB_04","38:00:25:55:c7:06","0","-208","625","-48","28737708","8","7"
"20190620","1844","33986","2197","0","COMPULAB_01","38:00:25:55:d6:d8","0","6700","1015","-55","28737708","8","7"
"20190620","1844","33986","2197","0","COMPULAB_03","38:00:25:55:d3:db","0","-1157","639","-50","28737708","8","7"
"20190620","1844","34624","3026","0","COMPULAB_02","38:00:25:55:d7:f0","0","1614","1206","-54","28738358","8","7"
"20190620","1844","34624","3026","0","COMPULAB_04","38:00:25:55:c7:06","0","939","735","-47","28738358","8","7"
"20190620","1844","34624","3026","0","COMPULAB_01","38:00:25:55:d6:d8","0","1990","1371","-48","28738358","8","7"
"20190620","1844","34624","3026","0","COMPULAB_03","38:00:25:55:d3:db","0","396","1118","-49","28738358","8","7"
"20190620","1844","34887","3266","0","COMPULAB_02","38:00:25:55:d7:f0","0","3028","1231","-55","28738618","8","7"
"20190620","1844","34887","3266","0","COMPULAB_04","38:00:25:55:c7:06","0","1800","417","-47","28738618","8","7"
"20190620","1844","34887","3266","0","COMPULAB_01","38:00:25:55:d6:d8","0","1833","432","-46","28738617","8","7"
"20190620","1844","34887","3266","0","COMPULAB_03","38:00:25:55:d3:db","0","222","1697","-51","28738617","8","7"
"20190620","1844","35199","3527","0","COMPULAB_02","38:00:25:55:d7:f0","0","5904","576","-53","28738875","8","7"
"20190620","1844","35199","3527","0","COMPULAB_04","38:00:25:55:c7:06","0","-473","916","-47","28738875","8","7"
"20190620","1844","35199","3527","0","COMPULAB_01","38:00:25:55:d6:d8","0","1123","845","-45","28738875","8","7"
"20190620","1844","35199","3527","0","COMPULAB_03","38:00:25:55:d3:db","0","-318","745","-50","28738874","8","7"
"20190620","1844","35336","3527","0","COMPULAB_02","38:00:25:55:d7:f0","0","3964","636","-54","28739007","8","7"
"20190620","1844","35336","3527","0","COMPULAB_04","38:00:25:55:c7:06","0","2813","1086","-51","28739007","8","7"
"20190620","1844","35336","3527","0","COMPULAB_01","38:00:25:55:d6:d8","0","1213","673","-48","28739007","8","7"
"20190620","1844","35336","3527","0","COMPULAB_03","38:00:25:55:d3:db","0","149","535","-55","28739007","8","7"
"20190620","1844","35587","3835","0","COMPULAB_02","38:00:25:55:d7:f0","0","390","1019","-54","28739258","8","7"
"20190620","1844","35587","3835","0","COMPULAB_04","38:00:25:55:c7:06","0","825","1152","-48","28739258","8","7"
"20190620","1844","35587","3835","0","COMPULAB_01","38:00:25:55:d6:d8","0","863","823","-48","28739258","8","7"
"20190620","1844","35587","3835","0","COMPULAB_03","38:00:25:55:d3:db","0","-1647","1739","-50","28739258","8","7"
"20190620","1844","35910","4140","0","COMPULAB_02","38:00:25:55:d7:f0","0","-475","1507","-50","28739615","8","7"
"20190620","1844","35910","4140","0","COMPULAB_04","38:00:25:55:c7:06","0","102","485","-47","28739615","8","7"
"20190620","1844","35910","4140","0","COMPULAB_01","38:00:25:55:d6:d8","0","1127","851","-47","28739615","8","7"
"20190620","1844","35910","4140","0","COMPULAB_03","38:00:25:55:d3:db","0","57","1284","-55","28739615","8","7"
"20190620","1844","36217","4621","0","COMPULAB_02","38:00:25:55:d7:f0","0","2682","471","-52","28739963","8","7"
"20190620","1844","36217","4621","0","COMPULAB_04","38:00:25:55:c7:06","0","747","1041","-48","28739962","8","7"
"20190620","1844","36217","4621","0","COMPULAB_01","38:00:25:55:d6:d8","0","791","649","-47","28739962","8","7"
"20190620","1844","36217","4621","0","COMPULAB_03","38:00:25:55:d3:db","0","1150","3619","-53","28739962","8","7"
"20190620","1844","36353","4621","0","COMPULAB_02","38:00:25:55:d7:f0","0","1841","2375","-51","28740077","8","7"
"20190620","1844","36353","4621","0","COMPULAB_04","38:00:25:55:c7:06","0","250","897","-48","28740077","8","7"
"20190620","1844","36353","4621","0","COMPULAB_01","38:00:25:55:d6:d8","0","676","592","-46","28740077","8","7"
"20190620","1844","36353","4621","0","COMPULAB_03","38:00:25:55:d3:db","0","1472","730","-55","28740077","8","7"
"20190620","1844","36692","4881","0","COMPULAB_02","38:00:25:55:d7:f0","0","1165","542","-50","28740428","8","7"
"20190620","1844","36692","4881","0","COMPULAB_04","38:00:25:55:c7:06","0","34","999","-51","28740428","8","7"
"20190620","1844","36692","4881","0","COMPULAB_01","38:00:25:55:d6:d8","0","210","1923","-51","28740428","8","7"
"20190620","1844","36692","4881","0","COMPULAB_03","38:00:25:55:d3:db","0","2726","1823","-54","28740428","8","7"
"20190620","1844","37102","5461","0","COMPULAB_02","38:00:25:55:d7:f0","0","2456","776","-50","28740861","8","7"
"20190620","1844","37102","5461","0","COMPULAB_04","38:00:25:55:c7:06","0","1753","730","-49","28740861","8","7"
"20190620","1844","37102","5461","0","COMPULAB_01","38:00:25:55:d6:d8","0","787","774","-53","28740861","8","7"
"20190620","1844","37102","5461","0","COMPULAB_03","38:00:25:55:d3:db","0","2874","1794","-53","28740861","8","7"
"20190620","1844","38364","6709","0","COMPULAB_02","38:00:25:55:d7:f0","0","1399","705","-48","28742072","8","7"
"20190620","1844","38364","6709","0","COMPULAB_04","38:00:25:55:c7:06","0","-210","1059","-53","28742072","8","7"
"20190620","1844","38364","6709","0","COMPULAB_01","38:00:25:55:d6:d8","0","-1141","494","-44","28742072","8","7"
"20190620","1844","38364","6709","0","COMPULAB_03","38:00:25:55:d3:db","0","5665","1158","-55","28742072","8","7"
"20190620","1844","38762","6956","0","COMPULAB_02","38:00:25:55:d7:f0","0","1135","1174","-48","28742426","8","7"
"20190620","1844","38762","6956","0","COMPULAB_04","38:00:25:55:c7:06","0","404","3505","-51","28742426","8","7"
"20190620","1844","38762","6956","0","COMPULAB_01","38:00:25:55:d6:d8","0","-1851","633","-45","28742426","8","7"
"20190620","1844","38762","6956","0","COMPULAB_03","38:00:25:55:d3:db","0","5893","946","-55","28742426","8","7"
"20190620","1844","39116","7252","0","COMPULAB_02","38:00:25:55:d7:f0","0","3578","710","-47","28742778","8","7"
"20190620","1844","39116","7252","0","COMPULAB_04","38:00:25:55:c7:06","0","1059","867","-49","28742778","8","7"
"20190620","1844","39116","7252","0","COMPULAB_01","38:00:25:55:d6:d8","0","-1438","808","-39","28742778","8","7"
"20190620","1844","39116","7252","0","COMPULAB_03","38:00:25:55:d3:db","0","5175","515","-51","28742778","8","7"
"20190620","1844","39583","7935","0","COMPULAB_02","38:00:25:55:d7:f0","0","-99","1117","-50","28743135","8","7"
"20190620","1844","39583","7935","0","COMPULAB_04","38:00:25:55:c7:06","0","1188","517","-50","28743135","8","7"
"20190620","1844","39583","7935","0","COMPULAB_01","38:00:25:55:d6:d8","0","-725","1707","-47","28743135","8","7"
"20190620","1844","39583","7935","0","COMPULAB_03","38:00:25:55:d3:db","0","3726","1006","-58","28743135","8","7"
"20190620","1844","39769","7935","0","COMPULAB_02","38:00:25:55:d7:f0","0","1677","429","-51","28743376","8","7"
"20190620","1844","39769","7935","0","COMPULAB_04","38:00:25:55:c7:06","0","2919","696","-49","28743376","8","7"
"20190620","1844","39769","7935","0","COMPULAB_01","38:00:25:55:d6:d8","0","-2073","1114","-48","28743376","8","7"
"20190620","1844","39769","7935","0","COMPULAB_03","38:00:25:55:d3:db","0","2999","1549","-53","28743376","8","7"
