"DATE","TIME","SEC","RUNTIME(ms)","PTNUM","SSID","BSSID","RttStatus","Distance(Mm)","DistanceStdDev(Mm)","Rssi","timestamp","NumAttemptedMeasurements","NumSuccessfulMeasurements"
"20190620","1842","43243","0","0","COMPULAB_04","38:00:25:55:c7:06","0","206","416","-46","28626979","8","7"
"20190620","1842","43243","0","0","COMPULAB_03","38:00:25:55:d3:db","0","-2758","629","-47","28626979","8","7"
"20190620","1842","43243","0","0","COMPULAB_01","38:00:25:55:d6:d8","0","2774","883","-61","28626979","8","7"
"20190620","1842","43243","0","0","COMPULAB_02","38:00:25:55:d7:f0","0","1617","1172","-52","28626979","8","7"
"20190620","1842","43410","151","0","COMPULAB_04","38:00:25:55:c7:06","0","763","337","-45","28627132","8","7"
"20190620","1842","43410","151","0","COMPULAB_03","38:00:25:55:d3:db","0","-2982","636","-48","28627132","8","7"
"20190620","1842","43410","151","0","COMPULAB_01","38:00:25:55:d6:d8","0","3830","329","-57","28627132","8","7"
"20190620","1842","43410","151","0","COMPULAB_02","38:00:25:55:d7:f0","0","1545","749","-53","28627132","8","7"
"20190620","1842","43744","535","0","COMPULAB_04","38:00:25:55:c7:06","0","431","339","-46","28627514","8","7"
"20190620","1842","43744","535","0","COMPULAB_03","38:00:25:55:d3:db","0","-2428","331","-49","28627514","8","7"
"20190620","1842","43744","535","0","COMPULAB_01","38:00:25:55:d6:d8","0","3627","1913","-53","28627514","8","7"
"20190620","1842","43744","535","0","COMPULAB_02","38:00:25:55:d7:f0","0","24","1320","-54","28627514","8","7"
"20190620","1842","44393","1135","0","COMPULAB_04","38:00:25:55:c7:06","0","-24","717","-48","28628155","8","7"
"20190620","1842","44393","1135","0","COMPULAB_03","38:00:25:55:d3:db","0","-1570","1043","-51","28628154","8","7"
"20190620","1842","44393","1135","0","COMPULAB_01","38:00:25:55:d6:d8","0","3322","384","-52","28628154","8","7"
"20190620","1842","44393","1135","0","COMPULAB_02","38:00:25:55:d7:f0","0","5260","864","-51","28628154","8","7"
"20190620","1842","44528","1348","0","COMPULAB_04","38:00:25:55:c7:06","0","-251","925","-47","28628282","8","7"
"20190620","1842","44528","1348","0","COMPULAB_03","38:00:25:55:d3:db","0","-1950","876","-53","28628282","8","7"
"20190620","1842","44528","1348","0","COMPULAB_01","38:00:25:55:d6:d8","0","4147","713","-50","28628282","8","7"
"20190620","1842","44528","1348","0","COMPULAB_02","38:00:25:55:d7:f0","0","5090","444","-50","28628282","8","7"
"20190620","1842","45052","1737","0","COMPULAB_04","38:00:25:55:c7:06","0","876","405","-45","28628798","8","7"
"20190620","1842","45052","1737","0","COMPULAB_03","38:00:25:55:d3:db","0","1730","600","-48","28628798","8","7"
"20190620","1842","45052","1737","0","COMPULAB_01","38:00:25:55:d6:d8","0","3426","707","-50","28628798","8","7"
"20190620","1842","45052","1737","0","COMPULAB_02","38:00:25:55:d7:f0","0","4326","917","-53","28628798","8","7"
"20190620","1842","45296","2090","0","COMPULAB_04","38:00:25:55:c7:06","0","895","746","-48","28629057","8","7"
"20190620","1842","45296","2090","0","COMPULAB_03","38:00:25:55:d3:db","0","2124","2299","-51","28629057","8","7"
"20190620","1842","45296","2090","0","COMPULAB_01","38:00:25:55:d6:d8","0","3053","986","-54","28629057","8","7"
