"DATE","TIME","SEC","RUNTIME(ms)","PTNUM","SSID","BSSID","RttStatus","Distance(Mm)","DistanceStdDev(Mm)","Rssi","timestamp","NumAttemptedMeasurements","NumSuccessfulMeasurements"
"20190620","1729","52005","321","0","COMPULAB_04","38:00:25:55:c7:06","0","656","639","-57","24255811","8","7"
"20190620","1729","52005","321","0","COMPULAB_03","38:00:25:55:d3:db","0","-430","907","-50","24255811","8","7"
"20190620","1729","52005","321","0","COMPULAB_01","38:00:25:55:d6:d8","0","1446","832","-56","24255811","8","7"
"20190620","1729","52005","321","0","COMPULAB_02","38:00:25:55:d7:f0","0","1793","585","-62","24255811","8","7"
"20190620","1729","52146","490","0","COMPULAB_04","38:00:25:55:c7:06","0","633","410","-57","24255938","8","7"
"20190620","1729","52146","490","0","COMPULAB_03","38:00:25:55:d3:db","0","-1857","1162","-52","24255937","8","7"
"20190620","1729","52146","490","0","COMPULAB_01","38:00:25:55:d6:d8","0","2062","700","-53","24255937","8","7"
"20190620","1729","52146","490","0","COMPULAB_02","38:00:25:55:d7:f0","0","293","2223","-68","24255937","8","7"
"20190620","1729","52279","490","0","COMPULAB_04","38:00:25:55:c7:06","0","-191","1497","-56","24256062","8","7"
"20190620","1729","52279","490","0","COMPULAB_03","38:00:25:55:d3:db","0","-1043","1180","-49","24256062","8","7"
"20190620","1729","52279","490","0","COMPULAB_01","38:00:25:55:d6:d8","0","2173","706","-51","24256062","8","7"
"20190620","1729","52279","490","0","COMPULAB_02","38:00:25:55:d7:f0","0","-3654","2695","-64","24256062","8","7"
"20190620","1729","52359","661","0","COMPULAB_04","38:00:25:55:c7:06","0","676","1230","-54","24256177","8","7"
"20190620","1729","52359","661","0","COMPULAB_03","38:00:25:55:d3:db","0","795","1238","-51","24256177","8","7"
"20190620","1729","52359","661","0","COMPULAB_01","38:00:25:55:d6:d8","0","457","1823","-51","24256177","8","7"
"20190620","1729","52359","661","0","COMPULAB_02","38:00:25:55:d7:f0","0","1721","402","-55","24256177","8","7"
"20190620","1729","52505","817","0","COMPULAB_04","38:00:25:55:c7:06","0","855","2511","-58","24256307","8","7"
"20190620","1729","52505","817","0","COMPULAB_03","38:00:25:55:d3:db","0","45","861","-54","24256307","8","7"
"20190620","1729","52505","817","0","COMPULAB_01","38:00:25:55:d6:d8","0","2365","379","-53","24256307","8","7"
"20190620","1729","52505","817","0","COMPULAB_02","38:00:25:55:d7:f0","0","793","1207","-56","24256307","8","7"
"20190620","1729","52632","983","0","COMPULAB_04","38:00:25:55:c7:06","0","704","636","-56","24256434","8","7"
"20190620","1729","52632","983","0","COMPULAB_03","38:00:25:55:d3:db","0","617","1090","-57","24256434","8","7"
"20190620","1729","52632","983","0","COMPULAB_01","38:00:25:55:d6:d8","0","3395","834","-50","24256434","8","7"
"20190620","1729","52632","983","0","COMPULAB_02","38:00:25:55:d7:f0","0","1859","1739","-57","24256434","8","7"
"20190620","1729","52744","1120","0","COMPULAB_04","38:00:25:55:c7:06","0","1261","682","-53","24256565","8","7"
"20190620","1729","52744","1120","0","COMPULAB_03","38:00:25:55:d3:db","0","272","1043","-51","24256565","8","7"
"20190620","1729","52744","1120","0","COMPULAB_01","38:00:25:55:d6:d8","0","5094","2355","-54","24256565","8","7"
"20190620","1729","52744","1120","0","COMPULAB_02","38:00:25:55:d7:f0","0","3347","1779","-57","24256565","8","7"
"20190620","1729","52899","1120","0","COMPULAB_04","38:00:25:55:c7:06","0","987","533","-53","24256693","8","7"
"20190620","1729","52899","1120","0","COMPULAB_03","38:00:25:55:d3:db","0","731","1202","-50","24256693","8","7"
"20190620","1729","52899","1120","0","COMPULAB_01","38:00:25:55:d6:d8","0","1268","1365","-50","24256693","8","7"
"20190620","1729","52899","1120","0","COMPULAB_02","38:00:25:55:d7:f0","0","-857","933","-54","24256693","8","7"
"20190620","1729","52994","1280","0","COMPULAB_04","38:00:25:55:c7:06","0","-4","1727","-50","24256821","8","7"
"20190620","1729","52994","1280","0","COMPULAB_03","38:00:25:55:d3:db","0","-1409","2151","-55","24256821","8","7"
"20190620","1729","52994","1280","0","COMPULAB_01","38:00:25:55:d6:d8","0","2712","2109","-52","24256821","8","7"
"20190620","1729","52994","1280","0","COMPULAB_02","38:00:25:55:d7:f0","0","-167","2552","-50","24256821","8","7"
"20190620","1729","53286","1585","0","COMPULAB_04","38:00:25:55:c7:06","0","434","1388","-53","24257077","8","7"
"20190620","1729","53286","1585","0","COMPULAB_03","38:00:25:55:d3:db","0","2303","2268","-55","24257077","8","7"
"20190620","1729","53286","1585","0","COMPULAB_01","38:00:25:55:d6:d8","0","3098","2579","-56","24257077","8","7"
"20190620","1729","53286","1585","0","COMPULAB_02","38:00:25:55:d7:f0","0","1605","1320","-53","24257077","8","7"
"20190620","1729","53410","1734","0","COMPULAB_04","38:00:25:55:c7:06","0","1443","847","-50","24257205","8","7"
"20190620","1729","53410","1734","0","COMPULAB_03","38:00:25:55:d3:db","0","12","926","-50","24257205","8","7"
"20190620","1729","53410","1734","0","COMPULAB_01","38:00:25:55:d6:d8","0","1055","1480","-51","24257205","8","7"
"20190620","1729","53410","1734","0","COMPULAB_02","38:00:25:55:d7:f0","0","732","715","-57","24257205","8","7"
"20190620","1729","53510","1883","0","COMPULAB_04","38:00:25:55:c7:06","0","837","856","-47","24257332","8","7"
"20190620","1729","53510","1883","0","COMPULAB_03","38:00:25:55:d3:db","0","-1403","1073","-51","24257332","8","7"
"20190620","1729","53510","1883","0","COMPULAB_01","38:00:25:55:d6:d8","0","2423","619","-54","24257332","8","7"
"20190620","1729","53510","1883","0","COMPULAB_02","38:00:25:55:d7:f0","0","137","738","-59","24257332","8","7"
"20190620","1729","54042","2381","0","COMPULAB_04","38:00:25:55:c7:06","0","-552","805","-47","24257843","8","7"
"20190620","1729","54042","2381","0","COMPULAB_03","38:00:25:55:d3:db","0","-1106","862","-49","24257843","8","7"
"20190620","1729","54042","2381","0","COMPULAB_01","38:00:25:55:d6:d8","0","3190","1482","-56","24257843","8","7"
"20190620","1729","54042","2381","0","COMPULAB_02","38:00:25:55:d7:f0","0","571","1698","-57","24257843","8","7"
"20190620","1729","54281","2542","0","COMPULAB_04","38:00:25:55:c7:06","0","-434","809","-47","24258099","8","7"
"20190620","1729","54281","2542","0","COMPULAB_03","38:00:25:55:d3:db","0","-117","2997","-47","24258099","8","7"
"20190620","1729","54281","2542","0","COMPULAB_01","38:00:25:55:d6:d8","0","-10","1183","-60","24258099","8","7"
