"DATE","TIME","SEC","RUNTIME(ms)","PTNUM","SSID","BSSID","RttStatus","Distance(Mm)","DistanceStdDev(Mm)","Rssi","timestamp","NumAttemptedMeasurements","NumSuccessfulMeasurements"
"20190620","1803","50943","135","0","COMPULAB_01","38:00:25:55:d6:d8","0","927","3029","-58","26294752","8","7"
"20190620","1803","50943","135","0","COMPULAB_02","38:00:25:55:d7:f0","0","3383","1848","-50","26294752","8","7"
"20190620","1803","50943","135","0","COMPULAB_04","38:00:25:55:c7:06","0","21","796","-48","26294752","8","7"
"20190620","1803","50943","135","0","COMPULAB_03","38:00:25:55:d3:db","0","-1318","1890","-50","26294752","8","7"
"20190620","1803","51205","441","0","COMPULAB_01","38:00:25:55:d6:d8","0","3699","1323","-54","26295010","8","7"
"20190620","1803","51205","441","0","COMPULAB_02","38:00:25:55:d7:f0","0","3279","1507","-51","26295010","8","7"
"20190620","1803","51205","441","0","COMPULAB_04","38:00:25:55:c7:06","0","96","907","-47","26295010","8","7"
"20190620","1803","51205","441","0","COMPULAB_03","38:00:25:55:d3:db","0","-2172","3281","-51","26295010","8","7"
"20190620","1803","51474","593","0","COMPULAB_01","38:00:25:55:d6:d8","0","3549","1195","-55","26295254","8","7"
"20190620","1803","51474","593","0","COMPULAB_02","38:00:25:55:d7:f0","0","-441","4359","-61","26295254","8","7"
"20190620","1803","51474","593","0","COMPULAB_04","38:00:25:55:c7:06","0","836","566","-48","26295254","8","7"
"20190620","1803","51474","593","0","COMPULAB_03","38:00:25:55:d3:db","0","-1704","1211","-50","26295254","8","7"
"20190620","1803","51723","916","0","COMPULAB_01","38:00:25:55:d6:d8","0","3638","654","-56","26295510","8","7"
"20190620","1803","51723","916","0","COMPULAB_02","38:00:25:55:d7:f0","0","963","3234","-61","26295510","8","7"
"20190620","1803","51723","916","0","COMPULAB_04","38:00:25:55:c7:06","0","561","664","-46","26295510","8","7"
"20190620","1803","51723","916","0","COMPULAB_03","38:00:25:55:d3:db","0","-2205","859","-52","26295510","8","7"
"20190620","1803","52228","1408","0","COMPULAB_01","38:00:25:55:d6:d8","0","5287","840","-54","26296024","8","7"
"20190620","1803","52228","1408","0","COMPULAB_02","38:00:25:55:d7:f0","0","3854","1899","-55","26296024","8","7"
"20190620","1803","52228","1408","0","COMPULAB_04","38:00:25:55:c7:06","0","4","2107","-54","26296024","8","7"
"20190620","1803","52228","1408","0","COMPULAB_03","38:00:25:55:d3:db","0","-95","1251","-49","26296024","8","7"
"20190620","1803","52352","1548","0","COMPULAB_01","38:00:25:55:d6:d8","0","6219","2184","-55","26296152","8","7"
"20190620","1803","52352","1548","0","COMPULAB_02","38:00:25:55:d7:f0","0","-346","1910","-58","26296152","8","7"
"20190620","1803","52352","1548","0","COMPULAB_04","38:00:25:55:c7:06","0","350","1457","-53","26296152","8","7"
"20190620","1803","52352","1548","0","COMPULAB_03","38:00:25:55:d3:db","0","-2635","940","-48","26296152","8","7"
"20190620","1803","52473","1687","0","COMPULAB_01","38:00:25:55:d6:d8","0","2060","956","-61","26296281","8","7"
"20190620","1803","52473","1687","0","COMPULAB_02","38:00:25:55:d7:f0","0","4858","808","-50","26296281","8","7"
"20190620","1803","52473","1687","0","COMPULAB_04","38:00:25:55:c7:06","0","-245","1608","-50","26296281","8","7"
"20190620","1803","52473","1687","0","COMPULAB_03","38:00:25:55:d3:db","0","-1806","872","-51","26296281","8","7"
"20190620","1803","52747","1850","0","COMPULAB_01","38:00:25:55:d6:d8","0","3066","1089","-54","26296541","8","7"
"20190620","1803","52747","1850","0","COMPULAB_02","38:00:25:55:d7:f0","0","1527","611","-50","26296541","8","7"
"20190620","1803","52747","1850","0","COMPULAB_04","38:00:25:55:c7:06","0","1104","396","-45","26296541","8","7"
"20190620","1803","52747","1850","0","COMPULAB_03","38:00:25:55:d3:db","0","-2531","905","-50","26296541","8","7"
"20190620","1803","52880","1988","0","COMPULAB_01","38:00:25:55:d6:d8","0","2847","418","-51","26296670","8","7"
"20190620","1803","52880","1988","0","COMPULAB_02","38:00:25:55:d7:f0","0","1817","1608","-51","26296670","8","7"
"20190620","1803","52880","1988","0","COMPULAB_04","38:00:25:55:c7:06","0","-1322","1030","-52","26296670","8","7"
"20190620","1803","52880","1988","0","COMPULAB_03","38:00:25:55:d3:db","0","-1453","1648","-50","26296670","8","7"
"20190620","1803","53105","2320","0","COMPULAB_01","38:00:25:55:d6:d8","0","1906","1272","-54","26296911","8","7"
"20190620","1803","53105","2320","0","COMPULAB_02","38:00:25:55:d7:f0","0","-1953","3061","-55","26296911","8","7"
"20190620","1803","53105","2320","0","COMPULAB_04","38:00:25:55:c7:06","0","524","447","-49","26296911","8","7"
"20190620","1803","53105","2320","0","COMPULAB_03","38:00:25:55:d3:db","0","-1152","1128","-54","26296911","8","7"
"20190620","1803","53208","2320","0","COMPULAB_01","38:00:25:55:d6:d8","0","4017","1034","-53","26297027","8","7"
