"DATE","TIME","SEC","RUNTIME(ms)","PTNUM","SSID","BSSID","RttStatus","Distance(Mm)","DistanceStdDev(Mm)","Rssi","timestamp","NumAttemptedMeasurements","NumSuccessfulMeasurements"
"20190620","1729","19249","174","0","COMPULAB_04","38:00:25:55:c7:06","0","2358","207","-57","24223053","8","7"
"20190620","1729","19249","174","0","COMPULAB_03","38:00:25:55:d3:db","0","1231","323","-53","24223052","8","7"
"20190620","1729","19249","174","0","COMPULAB_01","38:00:25:55:d6:d8","0","2379","410","-50","24223052","8","7"
"20190620","1729","19249","174","0","COMPULAB_02","38:00:25:55:d7:f0","0","384","1925","-57","24223052","8","7"
"20190620","1729","19406","337","0","COMPULAB_04","38:00:25:55:c7:06","0","1766","393","-53","24223199","8","7"
"20190620","1729","19406","337","0","COMPULAB_03","38:00:25:55:d3:db","0","-373","828","-53","24223199","8","7"
"20190620","1729","19406","337","0","COMPULAB_01","38:00:25:55:d6:d8","0","2638","554","-50","24223199","8","7"
"20190620","1729","19406","337","0","COMPULAB_02","38:00:25:55:d7:f0","0","4211","631","-60","24223198","8","7"
"20190620","1729","19546","498","0","COMPULAB_04","38:00:25:55:c7:06","0","-109","1658","-52","24223330","8","7"
"20190620","1729","19546","498","0","COMPULAB_03","38:00:25:55:d3:db","0","-1042","1059","-55","24223330","8","7"
"20190620","1729","19546","498","0","COMPULAB_01","38:00:25:55:d6:d8","0","2780","386","-51","24223330","8","7"
"20190620","1729","19546","498","0","COMPULAB_02","38:00:25:55:d7:f0","0","392","536","-58","24223330","8","7"
"20190620","1729","19927","812","0","COMPULAB_04","38:00:25:55:c7:06","0","715","774","-55","24223711","8","7"
"20190620","1729","19927","812","0","COMPULAB_03","38:00:25:55:d3:db","0","141","1039","-51","24223711","8","7"
"20190620","1729","19927","812","0","COMPULAB_01","38:00:25:55:d6:d8","0","3309","443","-52","24223711","8","7"
"20190620","1729","19927","812","0","COMPULAB_02","38:00:25:55:d7:f0","0","2397","1440","-52","24223711","8","7"
"20190620","1729","20149","1128","0","COMPULAB_04","38:00:25:55:c7:06","0","750","1820","-53","24223964","8","7"
"20190620","1729","20149","1128","0","COMPULAB_03","38:00:25:55:d3:db","0","181","922","-48","24223964","8","7"
"20190620","1729","20149","1128","0","COMPULAB_01","38:00:25:55:d6:d8","0","1932","705","-54","24223964","8","7"
"20190620","1729","20149","1128","0","COMPULAB_02","38:00:25:55:d7:f0","0","515","1921","-57","24223964","8","7"
"20190620","1729","20287","1128","0","COMPULAB_04","38:00:25:55:c7:06","0","3062","472","-57","24224094","8","7"
"20190620","1729","20287","1128","0","COMPULAB_03","38:00:25:55:d3:db","0","-441","540","-50","24224094","8","7"
"20190620","1729","20287","1128","0","COMPULAB_01","38:00:25:55:d6:d8","0","1154","1375","-56","24224094","8","7"
"20190620","1729","20287","1128","0","COMPULAB_02","38:00:25:55:d7:f0","0","2285","1060","-51","24224094","8","7"
"20190620","1729","20406","1283","0","COMPULAB_04","38:00:25:55:c7:06","0","2436","898","-57","24224221","8","7"
"20190620","1729","20406","1283","0","COMPULAB_03","38:00:25:55:d3:db","0","-257","854","-47","24224221","8","7"
"20190620","1729","20406","1283","0","COMPULAB_01","38:00:25:55:d6:d8","0","2147","1126","-53","24224221","8","7"
"20190620","1729","20406","1283","0","COMPULAB_02","38:00:25:55:d7:f0","0","-1337","898","-54","24224221","8","7"
"20190620","1729","20814","1760","0","COMPULAB_04","38:00:25:55:c7:06","0","408","2032","-54","24224607","8","7"
"20190620","1729","20814","1760","0","COMPULAB_03","38:00:25:55:d3:db","0","-1219","1516","-51","24224607","8","7"
"20190620","1729","20814","1760","0","COMPULAB_01","38:00:25:55:d6:d8","0","4604","786","-56","24224607","8","7"
"20190620","1729","20814","1760","0","COMPULAB_02","38:00:25:55:d7:f0","0","-185","884","-56","24224606","8","7"
"20190620","1729","21183","2089","0","COMPULAB_04","38:00:25:55:c7:06","0","-318","1320","-52","24224973","8","7"
"20190620","1729","21183","2089","0","COMPULAB_03","38:00:25:55:d3:db","0","-313","2272","-49","24224973","8","7"
"20190620","1729","21183","2089","0","COMPULAB_01","38:00:25:55:d6:d8","0","3074","2230","-52","24224973","8","7"
"20190620","1729","21183","2089","0","COMPULAB_02","38:00:25:55:d7:f0","0","-349","825","-61","24224972","8","7"
"20190620","1729","21296","2244","0","COMPULAB_04","38:00:25:55:c7:06","0","668","670","-47","24225101","8","7"
"20190620","1729","21296","2244","0","COMPULAB_03","38:00:25:55:d3:db","0","99","1344","-47","24225101","8","7"
"20190620","1729","21296","2244","0","COMPULAB_01","38:00:25:55:d6:d8","0","3016","894","-53","24225101","8","7"
"20190620","1729","21296","2244","0","COMPULAB_02","38:00:25:55:d7:f0","0","696","1584","-53","24225101","8","7"
"20190620","1729","21415","2378","0","COMPULAB_04","38:00:25:55:c7:06","0","-652","939","-49","24225230","8","7"
"20190620","1729","21415","2378","0","COMPULAB_03","38:00:25:55:d3:db","0","1875","778","-50","24225230","8","7"
"20190620","1729","21415","2378","0","COMPULAB_01","38:00:25:55:d6:d8","0","2099","817","-60","24225230","8","7"
"20190620","1729","21415","2378","0","COMPULAB_02","38:00:25:55:d7:f0","0","1247","1111","-55","24225230","8","7"
"20190620","1729","21684","2552","0","COMPULAB_04","38:00:25:55:c7:06","0","282","644","-50","24225485","8","7"
"20190620","1729","21684","2552","0","COMPULAB_03","38:00:25:55:d3:db","0","-37","548","-49","24225485","8","7"
"20190620","1729","21684","2552","0","COMPULAB_01","38:00:25:55:d6:d8","0","2732","4268","-54","24225485","8","7"
"20190620","1729","21684","2552","0","COMPULAB_02","38:00:25:55:d7:f0","0","1426","1709","-60","24225485","8","7"
"20190620","1729","21798","2703","0","COMPULAB_04","38:00:25:55:c7:06","0","451","614","-48","24225614","8","7"
"20190620","1729","21798","2703","0","COMPULAB_03","38:00:25:55:d3:db","0","-2816","888","-54","24225614","8","7"
"20190620","1729","21798","2703","0","COMPULAB_01","38:00:25:55:d6:d8","0","6080","2442","-54","24225614","8","7"
"20190620","1729","21798","2703","0","COMPULAB_02","38:00:25:55:d7:f0","0","2035","607","-55","24225614","8","7"
"20190620","1729","22070","3005","0","COMPULAB_04","38:00:25:55:c7:06","0","-463","2385","-50","24225868","8","7"
"20190620","1729","22070","3005","0","COMPULAB_03","38:00:25:55:d3:db","0","-620","892","-44","24225868","8","7"
