"DATE","TIME","SEC","RUNTIME(ms)","PTNUM","SSID","BSSID","RSSI"
"20190620","1733","11103","2347","0","null","46:44:47:CB:E9:4C","-96"
"20190620","1733","11158","2454","0","null","2E:5B:A5:4A:21:9D","-93"
"20190620","1733","11236","2559","0","null","79:09:58:C8:A7:96","-98"
"20190620","1733","11261","2559","0","null","2E:5B:A5:4A:21:9D","-93"
"20190620","1733","11272","2559","0","null","6A:58:7D:A6:5B:82","-93"
"20190620","1733","11442","2762","0","null","79:09:58:C8:A7:96","-100"
"20190620","1733","11471","2762","0","null","2E:5B:A5:4A:21:9D","-94"
"20190620","1733","11571","2869","0","null","2E:5B:A5:4A:21:9D","-89"
"20190620","1733","11540","2869","0","null","6A:58:7D:A6:5B:82","-90"
"20190620","1733","11676","2970","0","null","2E:5B:A5:4A:21:9D","-92"
"20190620","1733","11759","3084","0","null","79:09:58:C8:A7:96","-97"
"20190620","1733","11775","3084","0","null","2E:5B:A5:4A:21:9D","-92"
"20190620","1733","11863","3186","0","null","79:09:58:C8:A7:96","-97"
"20190620","1733","11875","3186","0","null","2E:5B:A5:4A:21:9D","-96"
"20190620","1733","11810","3186","0","null","6A:58:7D:A6:5B:82","-93"
"20190620","1733","11823","3186","0","null","5F:C0:11:B6:80:F7","-98"
"20190620","1733","11944","3294","0","null","46:44:47:CB:E9:4C","-96"
"20190620","1733","11979","3294","0","null","2E:5B:A5:4A:21:9D","-92"
"20190620","1733","15545","6861","0","null","1B:49:84:11:26:E5","-98"
"20190620","1733","15557","6861","0","null","46:44:47:CB:E9:4C","-95"
"20190620","1733","15530","6861","0","null","79:09:58:C8:A7:96","-90"
"20190620","1733","15658","6962","0","null","46:44:47:CB:E9:4C","-97"
"20190620","1733","15624","6962","0","null","79:09:58:C8:A7:96","-89"
"20190620","1733","15620","6962","0","null","5F:C0:11:B6:80:F7","-97"
"20190620","1733","15690","6962","0","null","46:44:47:CB:E9:4C","-100"
"20190620","1733","15724","6962","0","null","79:09:58:C8:A7:96","-96"
