"DATE","TIME","SEC","RUNTIME(ms)","PTNUM","SSID","BSSID","centerFreq0","centerFreq1","channelWidth","frequency","level"
"20190620","1733","10034","1317","0","COMPULAB_03","38:00:25:55:d3:db","0","0","0","5200","-46"
"20190620","1733","10034","1317","0","COMPULAB_04","38:00:25:55:c7:06","0","0","0","5220","-50"
"20190620","1733","10034","1317","0","COMPULAB_02","38:00:25:55:d7:f0","0","0","0","5180","-56"
"20190620","1733","10034","1317","0","COMPULAB_01","38:00:25:55:d6:d8","0","0","0","5240","-59"
"20190620","1733","10034","1317","0","Public WiFi Secure","06:30:0d:cf:33:73","0","0","0","2452","-59"
"20190620","1733","10034","1317","0","Public WiFi Free","06:30:0d:cf:33:72","0","0","0","2452","-60"
"20190620","1733","10034","1317","0","UNICORN","20:c0:6d:80:8d:95","0","0","0","2412","-60"
"20190620","1733","10034","1317","0","Public WiFi Free","0a:30:0d:cf:33:82","5290","0","2","5260","-60"
"20190620","1733","10034","1317","0","Public WiFi Secure","0a:30:0d:cf:33:83","5290","0","2","5260","-60"
"20190620","1733","10034","1317","0","KT WiFi","00:30:0d:cf:33:80","5290","0","2","5260","-61"
"20190620","1733","10034","1317","0","KT WiFi ","0a:30:0d:cf:33:81","5290","0","2","5260","-61"
"20190620","1733","10034","1317","0","KT_Free_WiFi","0a:30:0d:cf:33:86","5290","0","2","5260","-61"
"20190620","1733","10034","1317","0","KT_Free_WiFi","06:30:0d:cf:33:76","0","0","0","2452","-62"
"20190620","1733","10034","1317","0","BTL-GiSuk","00:41:d2:c7:1d:40","0","0","0","2412","-77"
"20190620","1733","10034","1317","0","BTL-GiSuk","00:41:d2:c6:d6:c0","0","0","0","2412","-85"
"20190620","1733","10034","1317","0","BTL-GiSuk","dc:ce:c1:63:e6:bf","0","0","0","5260","-86"
"20190620","1733","10034","1317","0","536","00:08:9f:57:3a:d0","0","0","0","2427","-87"
"20190620","1733","10034","1317","0","BTL-GiSuk","00:41:d2:c6:d6:cf","0","0","0","5260","-88"
"20190620","1733","12140","3399","0","COMPULAB_03","38:00:25:55:d3:db","0","0","0","5200","-46"
"20190620","1733","12140","3399","0","COMPULAB_04","38:00:25:55:c7:06","0","0","0","5220","-51"
"20190620","1733","12140","3399","0","COMPULAB_02","38:00:25:55:d7:f0","0","0","0","5180","-53"
"20190620","1733","12140","3399","0","COMPULAB_01","38:00:25:55:d6:d8","0","0","0","5240","-60"
"20190620","1733","12140","3399","0","BTL-GiSuk","00:41:d2:c7:1d:40","0","0","0","2412","-77"
"20190620","1733","12140","3399","0","Public WiFi Free","0a:30:0d:cf:33:82","5290","0","2","5260","-55"
"20190620","1733","12140","3399","0","KT_Free_WiFi","0a:30:0d:cf:33:86","5290","0","2","5260","-55"
"20190620","1733","12140","3399","0","KT WiFi","00:30:0d:cf:33:80","5290","0","2","5260","-56"
"20190620","1733","12140","3399","0","KT WiFi ","0a:30:0d:cf:33:81","5290","0","2","5260","-56"
