"DATE","TIME","SEC","RUNTIME(ms)","PTNUM","SSID","BSSID","RttStatus","Distance(Mm)","DistanceStdDev(Mm)","Rssi","timestamp","NumAttemptedMeasurements","NumSuccessfulMeasurements"
"20190620","1733","54784","223","0","COMPULAB_04","38:00:25:55:c7:06","0","4027","388","-51","24498639","8","7"
"20190620","1733","54784","223","0","COMPULAB_03","38:00:25:55:d3:db","0","-561","427","-54","24498639","8","7"
"20190620","1733","54784","223","0","COMPULAB_01","38:00:25:55:d6:d8","0","4486","418","-61","24498639","8","7"
"20190620","1733","54917","323","0","COMPULAB_04","38:00:25:55:c7:06","0","3797","477","-51","24498772","8","7"
"20190620","1733","54917","323","0","COMPULAB_03","38:00:25:55:d3:db","0","-425","800","-53","24498772","8","7"
"20190620","1733","54917","323","0","COMPULAB_02","38:00:25:55:d7:f0","0","799","3163","-54","24498772","8","7"
"20190620","1733","54917","323","0","COMPULAB_01","38:00:25:55:d6:d8","0","1575","1359","-62","24498772","8","7"
"20190620","1733","55048","439","0","COMPULAB_04","38:00:25:55:c7:06","0","3594","695","-52","24498902","8","7"
"20190620","1733","55048","439","0","COMPULAB_03","38:00:25:55:d3:db","0","-130","805","-53","24498902","8","7"
"20190620","1733","55048","439","0","COMPULAB_02","38:00:25:55:d7:f0","0","1320","1417","-53","24498902","8","7"
"20190620","1733","55048","439","0","COMPULAB_01","38:00:25:55:d6:d8","0","540","2042","-64","24498902","8","7"
"20190620","1733","55178","541","0","COMPULAB_04","38:00:25:55:c7:06","0","2428","624","-52","24499033","8","7"
"20190620","1733","55178","541","0","COMPULAB_03","38:00:25:55:d3:db","0","491","554","-54","24499033","8","7"
"20190620","1733","55178","541","0","COMPULAB_02","38:00:25:55:d7:f0","0","247","2147","-55","24499033","8","7"
"20190620","1733","55178","541","0","COMPULAB_01","38:00:25:55:d6:d8","0","-650","2578","-63","24499033","8","7"
"20190620","1733","55319","669","0","COMPULAB_04","38:00:25:55:c7:06","0","2707","3433","-51","24499163","8","7"
"20190620","1733","55319","669","0","COMPULAB_03","38:00:25:55:d3:db","0","1502","1178","-55","24499163","8","7"
"20190620","1733","55319","669","0","COMPULAB_02","38:00:25:55:d7:f0","0","1846","1734","-53","24499163","8","7"
"20190620","1733","55319","669","0","COMPULAB_01","38:00:25:55:d6:d8","0","2926","474","-57","24499163","8","7"
"20190620","1733","55438","892","0","COMPULAB_04","38:00:25:55:c7:06","0","2338","878","-51","24499292","8","7"
"20190620","1733","55438","892","0","COMPULAB_03","38:00:25:55:d3:db","0","1067","679","-58","24499292","8","7"
"20190620","1733","55438","892","0","COMPULAB_02","38:00:25:55:d7:f0","0","170","2980","-57","24499292","8","7"
"20190620","1733","55438","892","0","COMPULAB_01","38:00:25:55:d6:d8","0","3941","484","-55","24499292","8","7"
"20190620","1733","55572","1008","0","COMPULAB_04","38:00:25:55:c7:06","0","1451","1107","-53","24499422","8","7"
"20190620","1733","55572","1008","0","COMPULAB_03","38:00:25:55:d3:db","0","-643","746","-52","24499422","8","7"
"20190620","1733","55572","1008","0","COMPULAB_02","38:00:25:55:d7:f0","0","1759","1392","-55","24499422","8","7"
"20190620","1733","55572","1008","0","COMPULAB_01","38:00:25:55:d6:d8","0","1466","1865","-59","24499422","8","7"
"20190620","1733","55698","1109","0","COMPULAB_04","38:00:25:55:c7:06","0","1375","1006","-53","24499552","8","7"
"20190620","1733","55698","1109","0","COMPULAB_03","38:00:25:55:d3:db","0","-321","601","-49","24499552","8","7"
"20190620","1733","55698","1109","0","COMPULAB_02","38:00:25:55:d7:f0","0","3662","1794","-59","24499552","8","7"
"20190620","1733","55698","1109","0","COMPULAB_01","38:00:25:55:d6:d8","0","2229","588","-51","24499552","8","7"
"20190620","1733","55839","1210","0","COMPULAB_04","38:00:25:55:c7:06","0","54","1406","-54","24499683","8","7"
"20190620","1733","55839","1210","0","COMPULAB_03","38:00:25:55:d3:db","0","688","369","-47","24499683","8","7"
"20190620","1733","55839","1210","0","COMPULAB_02","38:00:25:55:d7:f0","0","-241","1032","-52","24499683","8","7"
"20190620","1733","55839","1210","0","COMPULAB_01","38:00:25:55:d6:d8","0","2212","833","-51","24499683","8","7"
"20190620","1733","55957","1323","0","COMPULAB_04","38:00:25:55:c7:06","0","852","1437","-48","24499812","8","7"
"20190620","1733","55957","1323","0","COMPULAB_03","38:00:25:55:d3:db","0","439","673","-49","24499812","8","7"
"20190620","1733","55957","1323","0","COMPULAB_02","38:00:25:55:d7:f0","0","2956","2592","-57","24499812","8","7"
"20190620","1733","55957","1323","0","COMPULAB_01","38:00:25:55:d6:d8","0","4585","960","-57","24499812","8","7"
"20190620","1733","56088","1542","0","COMPULAB_04","38:00:25:55:c7:06","0","3270","652","-49","24499941","8","7"
"20190620","1733","56088","1542","0","COMPULAB_03","38:00:25:55:d3:db","0","-860","1765","-56","24499941","8","7"
"20190620","1733","56088","1542","0","COMPULAB_02","38:00:25:55:d7:f0","0","-114","2973","-60","24499941","8","7"
"20190620","1733","56088","1542","0","COMPULAB_01","38:00:25:55:d6:d8","0","3068","1121","-59","24499941","8","7"
"20190620","1733","56222","1643","0","COMPULAB_04","38:00:25:55:c7:06","0","438","1969","-54","24500073","8","7"
"20190620","1733","56222","1643","0","COMPULAB_03","38:00:25:55:d3:db","0","-1740","965","-55","24500073","8","7"
"20190620","1733","56222","1643","0","COMPULAB_02","38:00:25:55:d7:f0","0","5119","1339","-59","24500073","8","7"
"20190620","1733","56222","1643","0","COMPULAB_01","38:00:25:55:d6:d8","0","2212","820","-52","24500073","8","7"
"20190620","1733","56355","1759","0","COMPULAB_04","38:00:25:55:c7:06","0","457","697","-52","24500206","8","7"
"20190620","1733","56355","1759","0","COMPULAB_03","38:00:25:55:d3:db","0","648","705","-48","24500206","8","7"
"20190620","1733","56355","1759","0","COMPULAB_02","38:00:25:55:d7:f0","0","4960","1552","-61","24500206","8","7"
"20190620","1733","56355","1759","0","COMPULAB_01","38:00:25:55:d6:d8","0","2730","2812","-58","24500206","8","7"
"20190620","1733","56489","1881","0","COMPULAB_04","38:00:25:55:c7:06","0","1461","1212","-49","24500339","8","7"
"20190620","1733","56489","1881","0","COMPULAB_03","38:00:25:55:d3:db","0","957","893","-52","24500339","8","7"
"20190620","1733","56489","1881","0","COMPULAB_02","38:00:25:55:d7:f0","0","4163","2134","-51","24500339","8","7"
"20190620","1733","56489","1881","0","COMPULAB_01","38:00:25:55:d6:d8","0","4498","1457","-50","24500338","8","7"
