"DATE","TIME","SEC","RUNTIME(ms)","PTNUM","SSID","BSSID","RSSI"
"20190620","1734","33466","2661","0","null","46:44:47:CB:E9:4C","-98"
"20190620","1734","33513","2661","0","null","2E:5B:A5:4A:21:9D","-95"
"20190620","1734","33596","2661","0","null","5F:C0:11:B6:80:F7","-98"
"20190620","1734","33719","2778","0","null","79:09:58:C8:A7:96","-100"
"20190620","1734","33723","2778","0","null","2E:5B:A5:4A:21:9D","-96"
"20190620","1734","33825","2997","0","null","2E:5B:A5:4A:21:9D","-95"
"20190620","1734","33928","2997","0","null","2E:5B:A5:4A:21:9D","-95"
"20190620","1734","33906","2997","0","null","6A:58:7D:A6:5B:82","-96"
"20190620","1734","34036","3104","0","null","2E:5B:A5:4A:21:9D","-96"
"20190620","1734","34138","3214","0","null","79:09:58:C8:A7:96","-90"
"20190620","1734","34245","3315","0","null","79:09:58:C8:A7:96","-93"
"20190620","1734","34240","3315","0","null","2E:5B:A5:4A:21:9D","-92"
"20190620","1734","34352","3423","0","null","79:09:58:C8:A7:96","-97"
"20190620","1734","34448","3538","0","null","2E:5B:A5:4A:21:9D","-94"
"20190620","1734","34446","3538","0","null","6A:58:7D:A6:5B:82","-88"
"20190620","1734","37251","6344","0","null","1B:49:84:11:26:E5","-96"
"20190620","1734","37258","6344","0","null","79:09:58:C8:A7:96","-100"
"20190620","1734","37283","6344","0","null","5A:02:92:B4:B7:45","-97"
"20190620","1734","37278","6344","0","null","2E:5B:A5:4A:21:9D","-98"
"20190620","1734","37317","6474","0","null","46:44:47:CB:E9:4C","-92"
"20190620","1734","37360","6474","0","null","79:09:58:C8:A7:96","-98"
"20190620","1734","37384","6474","0","null","5A:02:92:B4:B7:45","-94"
"20190620","1734","37381","6474","0","null","2E:5B:A5:4A:21:9D","-98"
"20190620","1734","37405","6474","0","null","5F:C0:11:B6:80:F7","-95"
"20190620","1734","37436","6474","0","null","6A:58:7D:A6:5B:82","-98"
"20190620","1734","37465","6611","0","null","79:09:58:C8:A7:96","-99"
"20190620","1734","37486","6611","0","null","5A:02:92:B4:B7:45","-94"
"20190620","1734","37467","6611","0","null","1C:B4:5D:21:28:DF","-98"
"20190620","1734","37564","6611","0","null","1B:49:84:11:26:E5","-98"
"20190620","1734","37588","6749","0","null","5A:02:92:B4:B7:45","-98"
"20190620","1734","37593","6749","0","null","2E:5B:A5:4A:21:9D","-93"
"20190620","1734","37668","6749","0","null","1B:49:84:11:26:E5","-94"
"20190620","1734","37697","6749","0","null","5A:02:92:B4:B7:45","-98"
"20190620","1734","37699","6749","0","null","2E:5B:A5:4A:21:9D","-93"
"20190620","1734","37674","6749","0","null","5F:C0:11:B6:80:F7","-97"
"20190620","1734","37772","6875","0","null","1B:49:84:11:26:E5","-94"
"20190620","1734","37772","6875","0","null","79:09:58:C8:A7:96","-101"
"20190620","1734","37797","6875","0","null","5A:02:92:B4:B7:45","-96"
"20190620","1734","37798","6875","0","null","2E:5B:A5:4A:21:9D","-94"
