Column1,Column2,Column3,Column4
50000,-85,45042,3.825847415
50000,-85,43648,3.825847415
50000,-84,43623,3.766988224
50000,-86,45334,3.884706606
50000,-85,44613,3.825847415
50000,-85,45812,3.825847415
50000,-86,44647,3.884706606
50000,-87,45379,3.943565797
50000,-88,45145,4.002424988
50000,-89,45244,4.061284179
50000,-89,44306,4.061284179
50000,-88,45049,4.002424988
50000,-87,44529,3.943565797
50000,-87,44599,3.943565797
50000,-87,46099,3.943565797
50000,-88,45980,4.002424988
50000,-86,44638,3.884706606
50000,-85,45067,3.825847415
50000,-87,45492,3.943565797
50000,-90,45293,4.12014337
50000,-88,44001,4.002424988
50000,-86,45619,3.884706606
50000,-86,45021,3.884706606
50000,-84,45772,3.766988224
50000,-84,44049,3.766988224
50000,-87,45235,3.943565797
50000,-86,44984,3.884706606
50000,-86,45724,3.884706606
50000,-86,43092,3.884706606
50000,-87,45321,3.943565797
50000,-87,43352,3.943565797
50000,-89,45692,4.061284179
50000,-87,42228,3.943565797
50000,-84,46123,3.766988224
50000,-85,43069,3.825847415
50000,-85,44605,3.825847415
50000,-86,44755,3.884706606
50000,-87,44236,3.943565797
50000,-87,45079,3.943565797
50000,-85,43128,3.825847415
50000,-85,45092,3.825847415
50000,-86,43687,3.884706606
50000,-87,45076,3.943565797
50000,-87,43056,3.943565797
50000,-85,44736,3.825847415
50000,-87,43957,3.943565797
50000,-87,45215,3.943565797
50000,-85,44261,3.825847415
50000,-88,45137,4.002424988
50000,-86,46641,3.884706606
50000,-84,46025,3.766988224
50000,-86,44861,3.884706606
50000,-84,46102,3.766988224
50000,-86,43846,3.884706606
50000,-87,45343,3.943565797
50000,-85,43808,3.825847415
50000,-88,45460,4.002424988
50000,-91,45271,4.179002561
50000,-93,46354,4.296720943
50000,-89,45363,4.061284179
50000,-87,44262,3.943565797
50000,-87,47005,3.943565797
50000,-88,47132,4.002424988
50000,-90,45714,4.12014337
50000,-90,47848,4.12014337
50000,-89,44081,4.061284179
50000,-88,47856,4.002424988
50000,-90,45951,4.12014337
50000,-90,47092,4.12014337
50000,-89,45136,4.061284179
50000,-88,47112,4.002424988
50000,-90,44358,4.12014337
50000,-93,48111,4.296720943
50000,-83,46139,3.708129033
50000,-85,46232,3.825847415
50000,-87,47148,3.943565797
50000,-87,46166,3.943565797
50000,-86,46781,3.884706606
50000,-85,47341,3.825847415
50000,-90,48169,4.12014337
50000,-90,45103,4.12014337
50000,-88,45149,4.002424988
50000,-91,46450,4.179002561
50000,-89,45623,4.061284179
50000,-89,46120,4.061284179
50000,-89,47118,4.061284179
50000,-90,47511,4.12014337
50000,-90,45916,4.12014337
50000,-90,48747,4.12014337
50000,-90,46307,4.12014337
50000,-93,47248,4.296720943
50000,-92,45444,4.237861752
50000,-94,50235,4.355580135
50000,-94,46666,4.355580135
50000,-92,47008,4.237861752
50000,-93,47854,4.296720943
50000,-91,46093,4.179002561
50000,-89,46864,4.061284179
50000,-90,46281,4.12014337
50000,-91,46791,4.179002561
50000,-93,45418,4.296720943
50000,-93,47403,4.296720943
50000,-87,46078,3.943565797
50000,-88,47356,4.002424988
50000,-87,48185,3.943565797
50000,-86,45975,3.884706606
50000,-86,46631,3.884706606
50000,-86,45737,3.884706606
50000,-87,47693,3.943565797
50000,-87,45576,3.943565797
50000,-87,46801,3.943565797
50000,-89,44722,4.061284179
50000,-89,47717,4.061284179
50000,-89,45930,4.061284179
50000,-89,47656,4.061284179
50000,-88,46113,4.002424988
50000,-87,47139,3.943565797
50000,-88,45474,4.002424988
50000,-88,46287,4.002424988
50000,-86,46252,3.884706606
50000,-87,46305,3.943565797
50000,-87,45717,3.943565797
50000,-88,46017,4.002424988
50000,-88,45224,4.002424988
50000,-86,46848,3.884706606
50000,-88,46278,4.002424988
50000,-87,50554,3.943565797
50000,-86,47281,3.884706606
50000,-85,48613,3.825847415
50000,-84,47040,3.766988224
50000,-89,48374,4.061284179
50000,-87,49244,3.943565797
50000,-91,47010,4.179002561
50000,-92,46622,4.237861752
50000,-91,46894,4.179002561
50000,-89,46387,4.061284179
50000,-90,48343,4.12014337
50000,-90,47901,4.12014337
50000,-90,47034,4.12014337
50000,-87,49338,3.943565797
50000,-88,49100,4.002424988
50000,-88,46725,4.002424988
50000,-87,49825,3.943565797
50000,-87,47253,3.943565797
50000,-87,49597,3.943565797
50000,-88,47135,4.002424988
50000,-86,47373,3.884706606
50000,-86,47514,3.884706606
50000,-87,48447,3.943565797
50000,-87,47518,3.943565797
50000,-87,48162,3.943565797
50000,-87,47525,3.943565797
50000,-87,47836,3.943565797
50000,-87,47204,3.943565797
50000,-87,48265,3.943565797
50000,-87,46104,3.943565797
50000,-87,48445,3.943565797
50000,-87,48159,3.943565797
50000,-87,49032,3.943565797
50000,-88,47681,4.002424988
50000,-87,48621,3.943565797
50000,-86,48292,3.884706606
50000,-86,50629,3.884706606
50000,-86,47445,3.884706606
50000,-88,48218,4.002424988
50000,-87,47171,3.943565797
50000,-86,47604,3.884706606
50000,-89,47270,4.061284179
50000,-88,49243,4.002424988
50000,-88,46832,4.002424988
50000,-86,47935,3.884706606
50000,-86,47602,3.884706606
50000,-86,49671,3.884706606
50000,-86,47038,3.884706606
50000,-86,49760,3.884706606
50000,-87,47995,3.943565797
50000,-87,51500,3.943565797
50000,-87,47976,3.943565797
50000,-87,51185,3.943565797
50000,-86,47540,3.884706606
50000,-86,50751,3.884706606
50000,-86,47363,3.884706606
50000,-85,50547,3.825847415
50000,-85,47714,3.825847415
50000,-86,51922,3.884706606
50000,-87,50398,3.943565797
50000,-87,51419,3.943565797
50000,-87,48263,3.943565797
50000,-87,51333,3.943565797
50000,-86,48091,3.884706606
50000,-87,51610,3.943565797
50000,-87,47173,3.943565797
50000,-86,50403,3.884706606
50000,-87,48798,3.943565797
50000,-86,48295,3.884706606
50000,-86,47116,3.884706606
50000,-88,48260,4.002424988
50000,-89,46653,4.061284179
50000,-88,50455,4.002424988
50000,-88,46961,4.002424988
50000,-88,49674,4.002424988
50000,-88,46908,4.002424988
50000,-89,52222,4.061284179
50000,-89,47039,4.061284179
50000,-90,50204,4.12014337
50000,-89,47602,4.061284179
50000,-89,48758,4.061284179
50000,-89,49480,4.061284179
50000,-89,50506,4.061284179
50000,-89,48628,4.061284179
50000,-88,49010,4.002424988
50000,-86,47259,3.884706606
50000,-85,49351,3.825847415
50000,-85,46729,3.825847415
50000,-87,49252,3.943565797
50000,-88,50132,4.002424988
50000,-86,61422,3.884706606
50000,-86,47776,3.884706606
50000,-86,48932,3.884706606
50000,-86,48270,3.884706606
50000,-87,46681,3.943565797
50000,-87,50239,3.943565797
50000,-87,50394,3.943565797
50000,-87,47647,3.943565797
50000,-87,50562,3.943565797
50000,-86,46176,3.884706606
50000,-86,49115,3.884706606
50000,-87,46475,3.943565797
50000,-85,48527,3.825847415
50000,-85,47230,3.825847415
50000,-85,47499,3.825847415
50000,-85,46945,3.825847415
50000,-86,47294,3.884706606
50000,-85,48202,3.825847415
50000,-84,47517,3.766988224
50000,-84,46772,3.766988224
50000,-84,47014,3.766988224
50000,-84,46772,3.766988224
50000,-84,47662,3.766988224
50000,-84,47380,3.766988224
50000,-84,47165,3.766988224
50000,-84,47431,3.766988224
50000,-85,48138,3.825847415
50000,-84,46165,3.766988224
50000,-85,46591,3.825847415
50000,-85,46876,3.825847415
50000,-85,48143,3.825847415
50000,-85,47961,3.825847415
50000,-84,47138,3.766988224
50000,-84,47359,3.766988224
50000,-84,47591,3.766988224
50000,-84,47166,3.766988224
50000,-84,47591,3.766988224
50000,-84,47641,3.766988224
50000,-85,47694,3.825847415
50000,-85,45766,3.825847415
50000,-84,47152,3.766988224
50000,-85,47276,3.825847415
50000,-85,47620,3.825847415
50000,-84,47102,3.766988224
50000,-84,47548,3.766988224
50000,-84,47485,3.766988224
50000,-85,47514,3.825847415
50000,-85,47109,3.825847415
50000,-85,47388,3.825847415
50000,-85,48104,3.825847415
50000,-86,47464,3.884706606
50000,-85,46018,3.825847415
50000,-85,46915,3.825847415
50000,-85,45560,3.825847415
50000,-85,47061,3.825847415
50000,-84,47024,3.766988224
50000,-84,46517,3.766988224
50000,-84,46999,3.766988224
50000,-84,47027,3.766988224
,,,
50000,-89,44889,4.061284179
50000,-87,44946,3.943565797
50000,-87,45225,3.943565797
50000,-88,45233,4.002424988
50000,-85,45211,3.825847415
50000,-87,44705,3.943565797
50000,-86,45236,3.884706606
50000,-86,44678,3.884706606
50000,-87,44687,3.943565797
50000,-87,44357,3.943565797
50000,-88,44812,4.002424988
50000,-88,44944,4.002424988
50000,-86,44873,3.884706606
50000,-86,45146,3.884706606
50000,-86,45099,3.884706606
50000,-89,44268,4.061284179
50000,-85,45239,3.825847415
50000,-87,44773,3.943565797
50000,-91,45330,4.179002561
50000,-84,43922,3.766988224
50000,-90,45704,4.12014337
50000,-87,44264,3.943565797
50000,-89,44649,4.061284179
50000,-87,44716,3.943565797
50000,-86,45825,3.884706606
50000,-86,44689,3.884706606
50000,-87,44643,3.943565797
50000,-86,43969,3.884706606
50000,-86,45276,3.884706606
50000,-85,44872,3.825847415
,,,
50000,-88,44442,4.002424988
50000,-86,44549,3.884706606
50000,-88,44902,4.002424988
50000,-87,45470,3.943565797
50000,-90,44937,4.12014337
50000,-89,44844,4.061284179
50000,-89,44701,4.061284179
50000,-88,43622,4.002424988
50000,-90,44989,4.12014337
50000,-90,45398,4.12014337
50000,-90,44808,4.12014337
50000,-88,43560,4.002424988
50000,-88,44998,4.002424988
50000,-88,45886,4.002424988
50000,-88,44792,4.002424988
50000,-88,44603,4.002424988
50000,-87,44661,3.943565797
50000,-87,45558,3.943565797
50000,-88,45004,4.002424988
50000,-87,45700,3.943565797
50000,-87,44807,3.943565797
50000,-86,44797,3.884706606
50000,-85,44926,3.825847415
50000,-85,44280,3.825847415
50000,-85,43870,3.825847415
50000,-85,43710,3.825847415
50000,-85,45205,3.825847415
50000,-85,44151,3.825847415
50000,-84,43968,3.766988224
50000,-84,44997,3.766988224
50000,-85,45532,3.825847415
50000,-86,43800,3.884706606
50000,-86,44050,3.884706606
50000,-85,44460,3.825847415
50000,-85,45988,3.825847415
50000,-85,44791,3.825847415
50000,-85,44809,3.825847415
50000,-87,44504,3.943565797
50000,-87,45857,3.943565797
