DATE,TIME,SEC,RUNTIME(ms),PTNUM,SSID,BSSID,RttStatus,Distance(Mm),DistanceStdDev(Mm),Rssi,timestamp,NumAttemptedMeasurements,NumSuccessfulMeasurements,,
20200519,1717,42520,139,0,COMPULAB_04,38:00:25:55:c7:06,0,-1219,943,-53,2376425,8,7,,
20200519,1717,42520,139,0,COMPULAB_03,38:00:25:55:d3:db,0,-3022,375,-54,2376425,8,7,,
20200519,1717,42520,139,0,COMPULAB_02,38:00:25:55:d7:f0,0,2852,425,-51,2376425,8,7,,
20200519,1717,42520,139,0,COMPULAB_01,38:00:25:55:d6:d8,0,5157,665,-51,2376425,8,7,,
20200519,1717,42615,274,0,COMPULAB_04,38:00:25:55:c7:06,0,-838,1124,-52,2376539,8,7,,
20200519,1717,42615,274,0,COMPULAB_03,38:00:25:55:d3:db,0,-2441,372,-54,2376539,8,7,,
20200519,1717,42615,274,0,COMPULAB_02,38:00:25:55:d7:f0,0,3643,309,-51,2376539,8,7,,
20200519,1717,42615,274,0,COMPULAB_01,38:00:25:55:d6:d8,0,5099,737,-51,2376539,8,7,,
20200519,1717,42740,417,0,COMPULAB_04,38:00:25:55:c7:06,0,-1248,744,-52,2376654,8,7,,
20200519,1717,42740,417,0,COMPULAB_03,38:00:25:55:d3:db,0,-2587,663,-55,2376654,8,7,,
20200519,1717,42740,417,0,COMPULAB_02,38:00:25:55:d7:f0,0,2310,1152,-51,2376654,8,7,,
20200519,1717,42740,417,0,COMPULAB_01,38:00:25:55:d6:d8,0,4988,833,-51,2376654,8,7,,
20200519,1717,43099,709,0,COMPULAB_04,38:00:25:55:c7:06,0,-1391,718,-49,2377036,8,7,,
20200519,1717,43099,709,0,COMPULAB_03,38:00:25:55:d3:db,0,-876,885,-56,2377036,8,7,,
20200519,1717,43099,709,0,COMPULAB_02,38:00:25:55:d7:f0,0,3104,788,-50,2377036,8,7,,
20200519,1717,43099,709,0,COMPULAB_01,38:00:25:55:d6:d8,0,5059,794,-50,2377036,8,7,,5157
20200519,1717,43209,836,0,COMPULAB_04,38:00:25:55:c7:06,0,-929,963,-47,2377150,8,7,,5099
20200519,1717,43209,836,0,COMPULAB_03,38:00:25:55:d3:db,0,-2060,3166,-55,2377150,8,7,,4988
20200519,1717,43209,836,0,COMPULAB_02,38:00:25:55:d7:f0,0,4070,409,-48,2377150,8,7,,5059
20200519,1717,43209,836,0,COMPULAB_01,38:00:25:55:d6:d8,0,4893,1254,-51,2377150,8,7,,4893
20200519,1717,43744,1443,0,COMPULAB_04,38:00:25:55:c7:06,0,61,357,-48,2377661,8,7,,5844
20200519,1717,43744,1443,0,COMPULAB_03,38:00:25:55:d3:db,0,4791,925,-52,2377661,8,7,,4620
20200519,1717,43744,1443,0,COMPULAB_02,38:00:25:55:d7:f0,0,3287,792,-57,2377661,8,7,,2442
20200519,1717,43744,1443,0,COMPULAB_01,38:00:25:55:d6:d8,0,5844,799,-50,2377661,8,7,,3374
20200519,1717,44273,1904,0,COMPULAB_04,38:00:25:55:c7:06,0,-1211,985,-49,2378156,8,7,,2746
20200519,1717,44273,1904,0,COMPULAB_03,38:00:25:55:d3:db,0,6852,1208,-50,2378156,8,7,,2117
20200519,1717,44273,1904,0,COMPULAB_02,38:00:25:55:d7:f0,0,4654,611,-54,2378156,8,7,,3150
20200519,1717,44273,1904,0,COMPULAB_01,38:00:25:55:d6:d8,0,4620,817,-55,2378156,8,7,,1029
